post_id,title,category,score,num_comments,author,collected_at
49678969,"Why are AI agents lying, cheating and coordinating?",technology,232,306,jonifico,2026-09-13T16:15:09.623493
49679459,The Interim Computer Museum,technology,118,13,mulmen,2026-09-13T16:15:10.724604
49619848,Apple iPod Engraver (2019),technology,226,57,NaOH,2026-09-13T16:15:15.072509
49673098,Nvidia is the central bank of AI,technology,489,343,tolugenius,2026-09-13T16:15:16.147351
49678683,Everyone should slow down AI development except for me,technology,500,299,xena,2026-09-13T16:15:20.558902
49678435,AgentsDock: An IDE designed for agentic AI research,technology,62,29,ZihuiGeorgia,2026-09-13T16:15:22.720455
49645480,"LG denies TV spying claims, says tracking and snooping concerns 'not true'",technology,539,422,datakan,2026-09-13T16:15:29.197188
49636479,Getting 50 GB/S Back from the Apple Neural Engine,technology,150,27,eiln,2026-09-13T16:15:30.292719
49676820,"Real-SWE: Benchmarking AI models on private, real-world, enterprise codebases",technology,244,136,theanonymousone,2026-09-13T16:15:41.220372
49658672,I fixed a tractor using John Deere's self-repair service. Farmers aren't sold,technology,130,141,sbulaev,2026-09-13T16:15:43.531185
49626718,A Design Space Exploration of Async/Await,technology,441,127,wcrichton,2026-09-13T16:15:44.633966
49662371,A misalignment of AI in mathematics,technology,1198,1175,meredydd,2026-09-13T16:15:48.618632
49668386,google.com/goto: Google's anti-scraping update,technology,648,507,1e1a,2026-09-13T16:15:54.650526
49680858,Why So Many AI Researchers Think the Machines Could Kill Everyone,technology,13,14,joozio,2026-09-13T16:15:55.825126
49671159,The worst spam emails: iLands AI agent hustle,technology,113,54,ColinWright,2026-09-13T16:16:01.634033
49679765,JWST finds extreme star-forming galaxies masquerading as faint quasars,technology,6,1,wglb,2026-09-13T16:16:02.725221
49662990,I spent $220 on Google app ads and 60% of the installs were robots,technology,737,409,nickabe,2026-09-13T16:16:03.812692
49671972,A few good ideas in programming languages,technology,96,61,airhangerf15,2026-09-13T16:16:04.897135
49680485,"When anyone can build software, who decides what not to build?",technology,33,28,younss,2026-09-13T16:16:15.307623
49679685,Anthropic CEO says AI swarm could 'take over the Internet' in 6-12 months,technology,28,20,pseudolus,2026-09-13T16:16:16.433395
49670032,Retrospectively Reverse-Engineering Apple's Neural Engine,technology,229,32,zdw,2026-09-13T16:16:19.102207
49671237,How Trail of Bits helps verify the integrity of Signal chats,technology,71,47,dgroshev,2026-09-13T16:16:24.738619
49676849,OpenAI's Sam Altman says it would be 'ill-advised' to go public in 2026,technology,89,63,humanlion87,2026-09-13T16:16:33.345939
49662214,λ Snap – An inviting programming language for kids and adults for CS study,technology,179,112,dr_kiszonka,2026-09-13T16:16:37.872985
49681012,"AI agents tested by OpenAI involved in cyber-attack on service, say researchers",technology,5,0,nobody9999,2026-09-13T16:16:41.731880
49680485,"When anyone can build software, who decides what not to build?",worldnews,33,28,younss,2026-09-13T16:17:50.231296
49679685,Anthropic CEO says AI swarm could 'take over the Internet' in 6-12 months,worldnews,28,20,pseudolus,2026-09-13T16:17:51.710394
49681012,"AI agents tested by OpenAI involved in cyber-attack on service, say researchers",worldnews,5,0,nobody9999,2026-09-13T16:18:17.162999
49672557,"Europe's ""Less"" Is Doing More Than Anyone Gives It Credit For",worldnews,104,55,u1hcw9nx,2026-09-13T16:18:41.826455
49642396,SystemIO conflicts are not firmware bugs,worldnews,34,6,haeseong,2026-09-13T16:18:53.714959
49663054,CIA Releases President's Daily Briefs in Commemoration of 9/11,worldnews,152,78,stmw,2026-09-13T16:19:16.092030
49666735,OpenAI agents carried out an undisclosed attack on RubyGems,worldnews,935,582,chao-,2026-09-13T16:19:19.486345
49660576,Global Glacier Extinction Explorer,worldnews,158,64,guillego,2026-09-13T16:19:32.985285
49674666,"Revolut confirms customer data breach, falling for fake government requests",worldnews,44,13,unbeli,2026-09-13T16:19:34.134410
49679971,JPMorgan cut off Situational Awareness lending after AI losses,worldnews,6,2,1vuio0pswjnm7,2026-09-13T16:20:06.033091
49628614,Understanding the recent DDoS attack against Read the Docs,worldnews,216,78,davidfischer,2026-09-13T16:20:57.041831
